property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_response_rate,instant_bookable,name,number_of_reviews,review_scores_rating,zipcode,bedrooms,beds,price
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace""}",3,1,Real Bed,moderate,TRUE,LA,"Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. This is a non smoking apartment. Warm and cozy studio with full kitchen and bathroom. Big balcony. Parking included. Walk to the beach, rent a bike, eat at variety of restaurants, see boats at Marina harbor! Great location! Friendly neighborhood! Meet locals at ""Cow's End"" famous coffee and wrap cafe.  Great experience all around. Close to the beach, lots of entertainment, balcony,  full kitchen. Gated parking, swimming pool, beach activities, Venice Beach, Marina Harbor At the check in, to deliver the keys. Quite peaceful place, friendly locals, fresh ocean breeze, Venice canals, marina harbor. Yes, the is Bus and uber Gated parking, swimming pool, beach activities, Venice Beach, Marina Har",TRUE,1,TRUE,Beach Town Studio and Parking!!!11h,15,97,90292,1,1,82.99999999999989
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox,Bathtub,""Babysitter recommendations"",""Pack ’n Play/travel crib""}",4,1,Real Bed,strict,TRUE,LA,"Welcome to Venice!  You will have the entire modern, 2nd floor, light and bright two bedroom one bath apartment to yourself. Minutes to restaurants, Venice beach, site seeing, shopping. Internet, cable, linens included, and secure parking! Sleeps 6. Welcome to Venice!  You will have the entire modern, renovated, light and bright two bedroom one bath apartment to yourself. This is a great location, close to all that Venice has to offer, on a quiet, friendly street. The apartment is on the second floor with a fully equipped kitchen, a washer and dryer and secure parking for one car. Rental also includes 2-4 bikes (adult size only & no helmets), wireless internet, TV with cable, HBO and Showtime plus a collection of movies on DVD.The bedrooms have queen sizes beds and the living room has a small desk with a good view. Linens and towels provided. And beach towels! The apartment can accommodate 6 if two people sleep on the sofa bed.  We can book one night if it is in a gap between guests. P",TRUE,1,FALSE,Light Bright Venice Beach 2 bedroom,248,96,90291,2,3,184.99999999999991
Apartment,Entire home/apt,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,Gym,""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,flexible,FALSE,LA,"Come have a nice stay in the marina enjoying the view in this one bedroom , well located with great amenities Walking distance from all shopping centers and bike trails ready",TRUE,1,TRUE,Amazing one bed in the marina,1,80,90292,1,1,324.99999999999994
House,Entire home/apt,"{TV,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,1,Real Bed,strict,TRUE,LA,"Quintessential Venice Bungalow. 2 bedrooms, 1 bath. Full kitchen. Living room with flat screen TV, Bang & Olufsen sound system. Large couch plus several chairs. Front yard is gated (and where you'll park). Back yard has bikes to use, a picnic table with a chandelier for night time gatherings and sun chairs. Access to garage with washer/dryer. Back yard is split into 2 sections (the back section has an Airstream on it--ask about availability). This compound is Venice living at it's finest The house is an updated classic Venice Beach bungalow with the most incredible back yard where you could potentially spend most of your time for relaxing, playing, and dining. Guests have access to the entire house and most of the large outside backyard with dinging table, fire pit and lounge chairs.  The airstream has a separate outside and fire pit area that may or may not be occupied at the time. If interested in the airstream availability please ask. Brianne has been an airbnb host for over 5 years",TRUE,1,FALSE,Quintessential Venice Beach Bungalow,3,93,90291,2,2,349.9999999999999
Apartment,Entire home/apt,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",4,2,Real Bed,strict,TRUE,LA,"My place is close to the prestigious Marina del Rey & Fisherman's Village, shop, dine, & catch the latest blockbuster at the 3-story Villa Marina Marketplace. Just off Highways 90 & 1. Bike ride at Marvin Braude Bike Path which runs from Marina del Rey through Venice Beach, Santa Monica & Pacific Palisades. Wear your favorite swimwear at the famous Venice Beach. Grab some fresh fruit at the local Marina del Rey Farmers' Market located at Mother's Beach, open every Saturdays from 9am-2pm. The penthouse is presented in exceptional condition and offers amazing living and entertaining quarters with elegant décor. The property comprises of a large eat-in kitchen with integrated appliances, stunning dining room, home cinema, library, gym, and MASTER bedroom with his/her bathrooms and built-in wardrobes, FIVE further bedrooms (three with en-suite), two further bathrooms, treatment room and two balconies.  The penthouse also benefits from a lift that opens directly into a private lobby, parkin",TRUE,0.99,FALSE,2Bedroom Modern Apartment In Marina Del Rey,23,90,90292,2,4,275.00000000000057
Apartment,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",7,2.5,Real Bed,strict,TRUE,LA,"Clear ocean views, beach walks at sunset, listen to the waves caress the sand at night, a picturesque yacht Marina behind, Vibrant Venice Beach life adjacent, Abbot Kinneys most fashionable restaurants, this penthouse is filled endless possibilities This a 3 bedroom Penthouse is spread over 2000 sq ft, with floor to ceiling glass & beach view balconies at both ends. Private parking for 2 cars, BBQ patio, full chef style kitchen. Veronica will be meeting you upon your arrival and give you a general  overview of the apartment and the surrounding area Guests will have their own private 2x car remote garage & bicycles on request. I like to welcome our guests upon their arrival, I am available if needed and very happy to help or recommend activities and places to see and always a phone call away. Favorite dinning /atmosphere restaurants include Gjlina, Gjuska, Plant Seed & wine, Casa Ado, Venice Ale House, Favorite breakfast cafe/ restaurants : Creation, Butchers Daughter, French Market, Fa",TRUE,1,FALSE,OceanViewPenthouse-VenicePeninsula!,10,98,90292,3,4,499.99999999999983
Apartment,Private room,"{TV,Internet,""Wireless Internet"",Pool,Kitchen,""Free parking on premises"",Gym,""Elevator in building"",""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""Lock on bedroom door"",""translation missing: en.hosting_amenity_49""}",2,1,Real Bed,flexible,TRUE,LA,"FULLY REMODELED LUXURY APARTMENT STEPS FROM THE MARINA, POOL, JACUZZI HOT TUB,GYM, BICYCLE, KAJAK... A BIG ROOM WITH VIEWS AND A GOOD SIZED BALCONY PLUS A BIG BATHROOM,  KITCHEN.",TRUE,1,TRUE,MARINA VIEWS - FANTASTIC PLACE,12,98,90292,1,1,100.00000000000004
Apartment,Entire home/apt,"{TV,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",4,2,Real Bed,strict,TRUE,LA,"Welcome to the the Pacific Ocean & ""Beach at your feet"".  Perfect for up to 4 adults.  Let the warm sand embrace your feet, the sun kiss your face and the waves of the Pacific Ocean sooth you at night. We speak English, French and Spanish Welcome to the Beach! Unsurpassed views of the Pacific Ocean. Very- Very unique location, unobstructed views all they way from Palos Verdes in the south all the way to Santa Monica and Malibu up north. On the sand RESPECTFUL AND RESPONSIBLE GUESTS ONLY. 1300square feet (115sqm) PLEASE have a look at our reviews on our other unit in the same building: Book with confidence! Close to LAX, Venice, Santa Monica. Thanks for reading! - The stunning beach of the Pacific Ocean! - Full kitchen with gas stove, dishwasher and pots and fry pans and utensils - Full table setup  - Walk in closet - Large ocean view balcony - Boogie boards - Sun chairs - Beach towels - Volley ball net on the sand - Coffee machine - Microwave oven - Full 4 burner oven - Over sized free",TRUE,1,FALSE,On Beach! Near Venice & Santa Monica,26,98,90292,2,2,289.0000000000003
Apartment,Entire home/apt,"{Internet,""Wireless Internet"",Kitchen,Heating,Essentials,""24-hour check-in"",""Laptop friendly workspace""}",2,1,Real Bed,flexible,TRUE,LA,"Half a block from Venice Beach! Light, airy, quiet studio with comfy but minimal furnishings. My studio is perfect for couples or single travelers who want to be a two minute walk to the ocean. It is half a block from the beach, but it is set back from the boardwalk so it's very quiet and peaceful. Besides that the best thing about it is the windows -- there are double windows on both walls of the main living space. The apartment is sparsely furnished but you have all the essentials. A full sized memory foam bed with down comforter, a separate kitchen with breakfast bar, desk and settee. And bathroom with large tub perfect for bubble baths. Bath towels and beach towels provided. Restaurants and shops on Rose and Abbot Kinney are a short walk away. You will have access to the whole apartment. I will also provide the key to my bike so that you don't have to rent one. And you can use my awesome boogie board too! The apartment has reliable high speed wifi. I may or may not be there to gree",TRUE,1,FALSE,Bright Studio 1/2 Block From Beach,0,NA,90291,0,1,139.00000000000009
House,Entire home/apt,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",2,1,Real Bed,moderate,TRUE,LA,"In the heart of Venice, steps from Abbot Kinney, newly renovated one bedroom, full kitchen, full bathroom, use of new washer and dryer, with off-street parking in the rear of the house. The house is light and airy with white washed hard wood floors. In the heart of Venice, steps from Abbot Kinney, newly renovated one bedroom, full kitchen, full bathroom, use of new washer and dryer, with parking in the rear of the house. The house is light and airy with white washed hard wood floors and all new furniture.  One bedroom with a queen bed sleeps two people, the couch in the living room can be set up as an extra bed or an aerobed is available upon request.  This cottage is a duplex with a shared wall with the owner's cottage who lives between Toronto and Venice.  Some other features:  cable t.v. and unlimited wifi , Nespresso machine with starter kit of pods, use of private backyard (furnished with table, lounge chairs, and BBQ). Bonus: we are located on the same street as Gjelina's, one of",TRUE,1,FALSE,Quaint Venice Beach Cottage,15,96,90291,1,1,179.99999999999986
