Category,PagePop,Checkins,TalkingAbout,CommentsBefore,CommentsFirst24,CharsInPost,NumShares,Promoted,DayOfWeek,Comments
Club,10039,4,1151,0,0,10,1,1,4,3
Actor/director,11426,1,3330,13,12,63,2,0,5,1
Education,12914,12,1957,4,4,0,147,0,4,1
Political party,23985,178,2773,20,20,35,40,0,5,3
University,28379,9681,1283,3,3,7,1,0,5,1
University,28379,9681,1283,1,1,30,3,0,5,1
Movie theater,32590,129,628,0,0,472,1,0,5,3
Restaurant/cafe,33434,3933,730,1,1,164,1,1,4,2
Studio,34441,206,5971,13,13,65,13,1,5,8
Club,48755,7,3230,15,15,35,1,1,4,5
School,50506,55131,656,4,4,1088,1,0,5,2
University,50563,10358,2348,1,1,186,1,1,6,3
Automobiles and parts,54947,68,700,5,5,49,21,0,5,2
Movie theater,55975,53564,774,76,71,349,58,0,5,1
Outdoor gear/sporting goods,58626,226,674,0,0,4,3,1,6,1
Church/religious organization,65094,4378,10862,3,3,92,1,0,4,2
Church/religious organization,65094,4378,10862,79,79,55,96,0,5,3
Church/religious organization,65094,4378,10862,13,13,80,1,0,4,5
Church/religious organization,65094,4378,10862,7,7,80,1,0,4,7
Church/religious organization,65094,4378,10862,7,7,43,1,0,4,7
Church/religious organization,65094,4378,10862,43,43,55,72,0,6,11
Non-governmental organization (ngo),83253,33,440,0,0,447,45,0,4,1
Athlete,91397,15,13482,0,0,122,1,0,5,4
Athlete,91981,6,1372,49,46,44,4,0,4,1
News/media website,102210,5,4791,1,1,39,2,0,4,1
Athlete,123770,1,9980,7,7,11,1,0,5,6
Media/news/publishing,150211,26,5091,3,3,30,3,0,4,2
Club,152469,2,8598,147,147,19,101,0,4,553
Athlete,156590,4,9718,26,25,34,21,0,4,3
Athlete,156590,4,9718,107,107,15,41,1,6,69
University,163208,51448,1607,2,2,143,2,0,6,3
News/media website,173448,2,2229,6,6,24,2,0,5,4
Musician/band,192885,1,2647,4,4,625,28,0,5,3
Insurance company,202466,35,19214,19,19,105,25,0,4,4
Insurance company,202466,35,19214,234,216,413,171,1,5,5
Insurance company,202466,35,19214,14,14,188,68,0,4,7
Insurance company,202466,35,19214,47,47,150,187,1,6,52
Insurance company,202466,35,19214,162,162,265,126,0,5,56
Non-profit organization,236881,1172,36034,2,2,88,45,0,6,1
Non-profit organization,236881,1172,36034,3,3,91,41,0,4,3
Non-profit organization,236881,1172,36034,14,14,171,72,0,5,6
Non-profit organization,236881,1172,36034,17,17,136,25,0,4,7
Non-profit organization,236881,1172,36034,11,11,80,105,0,6,8
Non-profit organization,236881,1172,36034,8,8,285,2,0,6,8
Non-profit organization,236881,1172,36034,6,6,149,207,1,6,11
Non-profit organization,236881,1172,36034,19,19,51,225,1,6,13
Non-profit organization,236881,1172,36034,90,90,21,253,1,6,13
Non-profit organization,236881,1172,36034,33,33,99,55,0,7,40
Just for fun,240597,6,31893,393,315,10,3,0,4,28
Community,259407,10,10824,0,0,17,1,0,4,1
Entertainment website,282337,1,6446,2,2,17,2,0,5,1
Entertainment website,282337,1,6446,4,4,40,1,0,4,1
Entertainment website,282337,1,6446,22,22,60,3,1,5,17
Just for fun,297702,148,488,1,1,101,4,0,5,2
News/media website,309914,13,5432,1,1,60,3,1,4,1
News/media website,309914,13,5432,0,0,61,21,1,6,1
Professional sports team,309999,28,43647,75,74,225,38,1,5,5
Professional sports team,309999,28,43647,35,35,131,20,0,5,7
Professional sports team,309999,28,43647,29,29,183,61,0,4,73
Actor/director,313452,1,86759,41,41,69,178,0,5,34
Actor/director,313452,1,86759,30,30,80,168,1,5,76
Actor/director,313452,1,86759,42,42,49,251,1,6,157
Company,315785,373,12829,3,3,165,14,0,6,4
Company,315785,373,12829,16,16,101,20,1,6,6
Company,315785,373,12829,6,6,127,230,0,4,50
Athlete,319720,65,11739,3,3,5,2,0,5,1
Athlete,319720,65,11739,1,1,0,1,0,5,1
Athlete,319720,65,11739,2,2,4,1,0,4,1
Athlete,319720,65,11739,0,0,6,11,0,5,1
Athlete,319720,65,11739,0,0,49,1,0,5,1
Athlete,319720,65,11739,0,0,11,1,0,5,1
Athlete,319720,65,11739,0,0,14,1,0,5,2
Athlete,319720,65,11739,72,71,4,3,1,4,13
Athlete,319720,65,11739,44,44,0,1,0,4,44
Musician/band,327857,640,2549,4,4,15,2,0,5,3
Media/news/publishing,362777,19,28797,6,6,18,43,0,4,1
Media/news/publishing,362777,19,28797,0,0,121,34,0,5,1
Media/news/publishing,362777,19,28797,9,9,99,97,0,4,1
Media/news/publishing,362777,19,28797,3,3,122,1,0,4,3
Media/news/publishing,362777,19,28797,18,18,496,221,0,5,3
Media/news/publishing,362777,19,28797,14,14,145,46,1,6,5
Professional sports team,365591,2096,6531,6,6,0,21,0,4,2
Professional sports team,365591,2096,6531,31,31,0,18,1,5,3
Professional sports team,365591,2096,6531,5,5,239,1,1,7,9
Health/beauty,390311,14,7222,0,0,0,1,0,6,1
Magazine,413585,49,14380,22,22,109,2,0,5,1
Magazine,413585,49,14380,16,16,150,2,0,5,2
Magazine,413585,49,14380,7,7,101,1,1,5,2
Magazine,413585,49,14380,31,31,55,1,0,5,2
Magazine,413585,49,14380,11,11,72,2,0,5,3
Magazine,413585,49,14380,27,27,48,24,0,5,14
Magazine,413585,49,14380,47,47,19,1,0,6,22
Magazine,413585,49,14380,89,89,10405,40,1,4,30
Company,417812,1,8063,12,12,0,19,0,4,2
School sports team,425753,2197,10938,17,17,149,75,0,4,8
Athlete,429905,45,120472,70,63,26,123,1,4,1
Athlete,429905,45,120472,53,53,224,2,1,4,1
Athlete,429905,45,120472,42,37,410,2,0,4,1
Athlete,429905,45,120472,14,14,503,77,0,6,1
Athlete,429905,45,120472,6,6,68,2,1,6,1
Athlete,429905,45,120472,24,24,44,1,0,4,1
Athlete,429905,45,120472,46,46,47,2,0,5,2
Athlete,429905,45,120472,14,14,52,58,1,6,2
Athlete,429905,45,120472,297,263,71,41,0,4,2
Athlete,429905,45,120472,51,51,80,80,0,4,4
Athlete,429905,45,120472,16,16,42,47,0,4,5
Athlete,429905,45,120472,11,11,39,1,0,5,5
Athlete,429905,45,120472,4,4,52,25,0,4,5
Athlete,429905,45,120472,186,167,81,277,1,4,6
Athlete,429905,45,120472,53,53,640,16,0,4,6
Athlete,429905,45,120472,9,9,590,66,0,5,7
Athlete,429905,45,120472,9,9,48,276,1,4,8
Athlete,429905,45,120472,48,48,47,1,1,4,9
Athlete,429905,45,120472,22,22,44,18,1,5,10
Athlete,429905,45,120472,51,51,112,55,0,5,12
Athlete,429905,45,120472,48,48,43,21,1,4,15
Athlete,429905,45,120472,90,90,59,33,0,5,16
Athlete,429905,45,120472,129,129,208,2,0,6,16
Athlete,429905,45,120472,35,35,59,111,0,4,20
Athlete,429905,45,120472,161,161,95,177,1,5,28
Athlete,429905,45,120472,10,10,114,20,0,4,31
Athlete,429905,45,120472,127,127,122,39,0,4,35
Athlete,429905,45,120472,202,202,29,220,0,5,36
Athlete,429905,45,120472,167,167,18,50,0,4,40
Athlete,429905,45,120472,249,243,81,34,0,4,46
Athlete,429905,45,120472,643,643,59,3,0,4,52
Athlete,429905,45,120472,31,31,18,93,1,5,53
Athlete,429905,45,120472,64,64,93,41,1,6,63
Athlete,429905,45,120472,66,66,41,17,0,4,72
Athlete,429905,45,120472,0,0,93,14,0,6,98
Athlete,429905,45,120472,936,893,36,44,1,4,99
Athlete,429905,45,120472,400,400,44,3,0,5,110
Athlete,429905,45,120472,157,157,27,1113,0,4,134
Athlete,429905,45,120472,814,814,60,2,0,5,138
Athlete,429905,45,120472,1064,1064,115,478,0,4,155
Athlete,429905,45,120472,452,452,80,138,1,5,178
Athlete,429905,45,120472,248,248,108,32,0,4,188
Athlete,429905,45,120472,1776,1613,41,739,0,4,204
Athlete,429905,45,120472,1833,1833,44,79,0,4,279
Athlete,429905,45,120472,446,446,18,83,0,5,323
Bank/financial institution,433684,3,8147,18,16,40,68,0,4,1
Bank/financial institution,433684,3,8147,0,0,52,11,0,6,1
Bank/financial institution,433684,3,8147,4,4,78,1,1,5,1
Bank/financial institution,433684,3,8147,12,12,38,47,0,4,1
Bank/financial institution,433684,3,8147,33,32,37,112,0,4,1
Bank/financial institution,433684,3,8147,0,0,28,1,0,6,1
Bank/financial institution,433684,3,8147,32,31,85,22,0,4,1
Bank/financial institution,433684,3,8147,1,1,15,1,0,4,1
