fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5.914806043496355
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5.937075413297862
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5.286139534786344
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6.8304476260673255
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5.6417455188930035
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5.519095949130133
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5.736588314641267
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7.1346665972378105
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7.656992290401831
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5.705064784036949
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5.45774177624844
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5.719112251652405
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5.9346722471527755
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5.255428824340925
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5.462292822543532
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5.9400145227555186
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7.978226428385824
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5.117487361654639
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4.474997081561014
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6.560332746244967
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6.904031387297437
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5.138710167724639
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5.988891728920862
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5.946668232558295
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6.0824375580996275
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5.5142117843497545
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5.390203467104584
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5.905738130910322
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5.446969628101215
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6.836004259996116
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5.737595617771149
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6.811055141268298
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5.388108282815665
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6.685169729404151
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5.003948338795453
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6.832916080253199
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6.007334146881476
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7.207658972823992
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4.906601407798007
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5.611778643447906
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5.379559240536764
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4.4357715849764645
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6.037431032862514
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5.973539913771674
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5.431751248892397
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4.957576596643776
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5.887754905503243
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5.639978769468144
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5.970966610359028
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5.618838207330555
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5.333427211269736
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6.346748248208314
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6.39848541142419
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5.784692775690928
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6.038936491124332
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5.748795386170968
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5.67727683018893
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5.171264330390841
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5.261087963823229
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6.514412934659049
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5.67560727451928
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5.982817197917029
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7.7595442675519735
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5.566488424083218
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5.849689718568698
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5.18947393540293
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5.271286614704877
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5.828158485237509
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5.693204820388928
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6.2405447396449745
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6.042988796019927
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5.140479094116017
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5.21638541505672
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4.479398564202711
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5.197410342283547
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.7193558376748115
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5.007884738733992
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6.375489964615554
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5.514407708309591
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4.001570554217324
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5.581604002509266
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5.157905208179727
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5.359028305858374
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5.645631878403947
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6.775823362637311
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5.563646841561422
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6.2337033986113966
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5.089980516349897
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5.085612064925954
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5.305218369467184
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5.6674265146721154
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6.000238896580413
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5.208569956943393
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5.933034127345309
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4.925644748611376
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6.734094301005825
