fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6.914806043496355
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6.937075413297862
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6.286139534786344
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6.8304476260673255
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6.6417455188930035
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6.519095949130133
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6.736588314641267
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6.1346665972378105
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6.656992290401831
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6.705064784036949
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5.45774177624844
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5.719112251652405
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5.9346722471527755
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7.255428824340925
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5.462292822543532
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7.9400145227555186
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6.978226428385824
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8.11748736165464
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6.474997081561014
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5.560332746244967
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8.904031387297437
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7.138710167724639
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8.988891728920862
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5.946668232558295
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6.0824375580996275
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6.5142117843497545
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6.390203467104584
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6.905738130910322
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6.446969628101215
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7.836004259996116
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6.737595617771149
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6.811055141268298
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6.388108282815665
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6.685169729404151
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5.003948338795453
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5.832916080253199
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5.007334146881476
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6.207658972823992
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5.906601407798007
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5.611778643447906
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6.379559240536764
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6.4357715849764645
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6.037431032862514
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6.973539913771674
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6.431751248892397
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7.957576596643776
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4.887754905503243
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5.639978769468144
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6.970966610359028
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5.618838207330555
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6.333427211269736
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7.346748248208314
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7.39848541142419
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6.784692775690928
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6.038936491124332
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6.748795386170968
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6.67727683018893
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6.171264330390841
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6.261087963823229
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6.514412934659049
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6.67560727451928
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6.982817197917029
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5.7595442675519735
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6.566488424083218
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6.849689718568698
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5.18947393540293
