DATE,TOTBUSIMNSA,TOTBUSIRNSA,TOTBUSSMNSA
1/1/92,802948,1.68,478951
2/1/92,809329,1.63,496844
3/1/92,813301,1.5,542833
4/1/92,819247,1.53,533768
5/1/92,815688,1.52,537400
6/1/92,812610,1.44,565572
7/1/92,817899,1.55,526186
8/1/92,820061,1.52,539854
9/1/92,823912,1.47,560404
10/1/92,844117,1.49,566566
11/1/92,850772,1.56,545761
12/1/92,823633,1.4,588252
1/1/93,830472,1.66,501102
2/1/93,837696,1.61,519670
3/1/93,845466,1.46,577660
4/1/93,851007,1.51,562473
5/1/93,848150,1.49,568082
6/1/93,840682,1.42,592054
7/1/93,841820,1.55,541465
8/1/93,843790,1.48,571966
9/1/93,851014,1.45,587293
10/1/93,872794,1.49,587643
11/1/93,881832,1.51,582479
12/1/93,850662,1.38,614453
1/1/94,857823,1.64,523199
2/1/94,867791,1.58,548442
3/1/94,869132,1.4,622218
4/1/94,876216,1.49,589743
5/1/94,883463,1.46,606190
6/1/94,879098,1.39,634299
7/1/94,886582,1.55,570383
8/1/94,894296,1.4,637290
9/1/94,903536,1.41,638551
10/1/94,932673,1.46,637472
11/1/94,944083,1.48,636597
12/1/94,913178,1.36,673862
1/1/95,930073,1.59,583576
2/1/95,943250,1.57,602657
3/1/95,951783,1.42,671889
4/1/95,964551,1.53,629789
5/1/95,966416,1.45,665344
6/1/95,959054,1.39,688374
7/1/95,963639,1.58,610456
8/1/95,966512,1.43,678051
9/1/95,974748,1.44,677370
10/1/95,1005190,1.48,678823
11/1/95,1013264,1.51,671241
12/1/95,971548,1.39,698703
1/1/96,985288,1.62,608890
2/1/96,992520,1.55,640408
3/1/96,989270,1.44,687749
4/1/96,997607,1.47,676459
5/1/96,993342,1.41,705129
6/1/96,981384,1.4,701473
7/1/96,987780,1.49,661061
8/1/96,989675,1.4,704489
9/1/96,996161,1.42,703818
10/1/96,1026552,1.42,724199
11/1/96,1032049,1.47,700035
12/1/96,990236,1.36,729370
1/1/97,1001594,1.54,648926
2/1/97,1011593,1.51,670542
3/1/97,1010703,1.38,733003
4/1/97,1020615,1.43,714436
5/1/97,1018096,1.4,728181
6/1/97,1012936,1.36,746888
7/1/97,1016327,1.45,699834
8/1/97,1017650,1.4,728842
9/1/97,1029939,1.36,755266
10/1/97,1061105,1.4,760523
11/1/97,1068905,1.49,718354
12/1/97,1031141,1.33,776516
1/1/98,1042099,1.57,665199
2/1/98,1055958,1.53,691649
3/1/98,1060445,1.38,766470
4/1/98,1067950,1.44,739466
5/1/98,1060760,1.43,743025
6/1/98,1049957,1.35,776742
7/1/98,1053376,1.48,710372
8/1/98,1056507,1.43,738979
9/1/98,1067240,1.39,765522
10/1/98,1097690,1.43,769652
11/1/98,1107522,1.5,740557
