id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
567000020,20150428T000000,800000,2,1,1570,5000,1.5,0,3,4,8,1570,0,1924,0,98144,47.5955,-122.294,1760,3000
3982700088,20150402T000000,910000,3,2.5,2720,7250,2,0,0,3,9,2720,0,1990,0,98033,47.6894,-122.195,2870,7250
8150100240,20150218T000000,265000,2,1,620,4760,1,0,0,3,6,620,0,1941,0,98126,47.5286,-122.376,620,4760
3586501085,20140808T000000,630000,4,2.5,2290,26720,2,0,0,3,8,2290,0,1977,0,98177,47.7502,-122.374,2290,26720
1091500120,20150213T000000,310000,4,2.75,1950,9720,1,0,0,3,7,1400,550,1986,0,98031,47.3969,-122.205,2300,10530
3298500690,20140708T000000,300000,3,1,1150,7314,1,0,0,3,7,1150,0,1960,0,98008,47.6246,-122.113,1350,7350
3226049134,20140902T000000,330000,2,1,800,4533,1,0,0,3,6,600,200,1929,0,98115,47.6979,-122.325,1720,6800
3879901290,20150401T000000,874000,3,2.5,1350,941,3,0,0,3,9,1350,0,2007,0,98119,47.6265,-122.364,1640,1369
3751600430,20141226T000000,250000,3,1.75,1780,35233,1,0,0,4,8,1420,360,1979,0,98001,47.2949,-122.269,1950,17334
5015001452,20150414T000000,950000,3,2.5,2280,2296,3,0,0,3,9,1890,390,2013,0,98112,47.6256,-122.299,1390,4000
1843200240,20150505T000000,200000,2,1.5,1360,1898,2,0,0,3,7,1360,0,1978,0,98092,47.2852,-122.19,1360,1898
8732190990,20140709T000000,229000,4,2.25,2010,7688,1,0,0,3,8,1170,840,1979,0,98023,47.3086,-122.396,1990,7688
1079350020,20140821T000000,305000,3,2,1490,7697,1,0,0,3,7,1490,0,1994,0,98059,47.4852,-122.164,1540,7529
6061000010,20150504T000000,323000,4,2.75,2230,50094,1,0,2,4,7,1330,900,1977,0,98092,47.2576,-122.099,2230,40770
1822079046,20150504T000000,500000,3,2,3040,41072,1,0,0,4,8,1520,1520,1978,0,98038,47.3944,-121.972,2230,54014
7167000060,20141124T000000,774950,4,2.5,3410,179419,2,0,0,3,10,3410,0,2004,0,98010,47.3602,-121.986,3350,175421
1795920440,20140621T000000,639500,4,2.25,2330,8994,2,0,0,3,8,2330,0,1986,0,98052,47.7264,-122.104,2330,8396
7899800120,20140820T000000,294350,3,1,1410,5120,1.5,0,0,3,6,1210,200,1925,0,98106,47.5238,-122.355,1330,5120
9310300175,20150304T000000,225000,3,1,1490,15850,1,0,0,3,7,1490,0,1946,0,98133,47.7411,-122.347,1950,13228
6306400140,20140612T000000,1095000,0,0,3064,4764,3.5,0,2,3,7,3064,0,1990,0,98102,47.6362,-122.322,2360,4000
1646502165,20140813T000000,480000,2,1.75,1170,4635,1,0,0,4,6,690,480,1924,0,98117,47.6842,-122.359,1240,4120
2592300450,20140627T000000,279000,3,2.5,1630,7950,1,0,0,3,8,1320,310,1985,0,98042,47.4224,-122.159,1650,7952
6021503705,20141015T000000,329000,2,2.5,980,1020,3,0,0,3,8,980,0,2008,0,98117,47.6844,-122.387,980,1023
1238900130,20150105T000000,1100000,4,3.75,2890,4164,2,0,0,3,9,2240,650,2013,0,98033,47.676,-122.197,2354,3207
7202290240,20141017T000000,442500,3,2.5,1690,3129,2,0,0,3,7,1690,0,2002,0,98053,47.6875,-122.043,1690,3129
6822100030,20140528T000000,589000,3,1,1110,6000,1.5,0,0,5,7,1110,0,1932,0,98199,47.6496,-122.403,1420,6000
7345000120,20140617T000000,206000,3,1,1320,7000,1,0,0,4,7,1320,0,1967,0,98002,47.2787,-122.205,1260,7455
5021900175,20140616T000000,500000,3,1.75,1540,10800,1,0,0,5,6,770,770,1947,0,98040,47.5763,-122.222,2020,10800
9543000205,20150413T000000,139950,0,0,844,4269,1,0,0,4,7,844,0,1913,0,98001,47.2781,-122.25,1380,9600
9511120050,20140627T000000,427000,3,2.5,2432,9391,2,0,2,3,9,2432,0,2005,0,98001,47.3453,-122.267,2912,8932
7694600143,20141218T000000,350000,3,1.75,1480,9375,1,0,0,4,7,1480,0,1957,0,98146,47.5076,-122.366,1370,9000
8682290670,20150406T000000,745000,2,2.5,2170,7546,1,0,0,3,8,2170,0,2007,0,98053,47.7242,-122.032,2170,7083
2421059125,20150414T000000,579950,4,2.5,2880,213444,1,0,0,5,8,2140,740,1984,0,98092,47.2887,-122.109,2810,213444
1446400564,20140507T000000,185000,4,1,1490,6600,1,0,0,3,7,1490,0,1969,0,98168,47.4835,-122.332,1280,6600
7202340930,20141209T000000,634800,4,3,3280,4904,2,0,0,3,7,3280,0,2005,0,98053,47.6802,-122.033,2600,5004
9808630120,20150108T000000,770000,3,2.5,2190,2658,2,0,3,4,9,2190,0,1979,0,98033,47.6528,-122.203,2315,2538
9510920050,20140902T000000,725000,3,2.5,2980,16996,2,0,0,3,10,2980,0,1992,0,98075,47.595,-122.016,2980,15438
7202360760,20140711T000000,790000,4,2.5,3500,9198,2,0,0,3,9,3500,0,2004,0,98053,47.6785,-122.025,3990,8598
5416500950,20150309T000000,428900,4,2.5,2820,5056,2,0,0,3,9,2820,0,2006,0,98038,47.3591,-122.038,2820,5150
7221400285,20150209T000000,265000,2,1,820,8423,1,0,2,3,6,820,0,1957,0,98055,47.4741,-122.2,1960,9140
8682250350,20141009T000000,507000,2,1.75,1670,6460,1,0,0,3,8,1670,0,2004,0,98053,47.7123,-122.027,2170,6254
40000235,20150414T000000,380000,5,2.5,2130,8428,2,0,0,3,7,2130,0,2013,0,98168,47.4726,-122.282,1500,11810
7934000145,20141201T000000,450000,4,2.75,2900,6400,2,0,0,3,7,2040,860,1911,1970,98136,47.5563,-122.393,1340,6144
2117700065,20141009T000000,306950,1,1,730,5005,1,0,0,4,5,730,0,1945,0,98117,47.6992,-122.364,1630,5667
7504001440,20140915T000000,435000,2,1.75,1910,12142,1,0,0,3,9,1910,0,1976,0,98074,47.6276,-122.053,2580,12326
3529300330,20141107T000000,370000,3,2.5,1980,6922,2,0,0,5,8,1980,0,1991,0,98031,47.396,-122.184,2090,7697
4305600100,20141222T000000,570000,4,2.75,3250,5600,2,0,0,3,8,3250,0,2011,0,98059,47.4806,-122.125,2730,5667
3438500486,20141016T000000,413000,4,3.5,2380,5809,2,0,0,4,7,1750,630,1995,0,98106,47.5536,-122.359,1620,5775
2391601195,20150430T000000,1050000,4,4.25,3720,5750,2,0,2,3,9,2960,760,2006,0,98116,47.5632,-122.399,2550,5750
5589300585,20141203T000000,325000,3,1,1050,9083,1,0,0,3,7,1050,0,1951,0,98155,47.7533,-122.307,1440,9071
5316101075,20140926T000000,2885000,7,3,5350,14400,2.5,0,0,4,10,5020,330,1910,0,98112,47.6295,-122.285,3050,7469
2222900082,20140513T000000,449500,3,2,1770,6610,1,0,0,4,7,960,810,1954,0,98133,47.7703,-122.343,2010,4361
8091670070,20140804T000000,328000,4,2.5,1850,5388,2,0,0,3,8,1850,0,2009,0,98038,47.3494,-122.041,2140,5086
3668001080,20140911T000000,248000,3,2.5,2120,6840,1,0,0,3,7,1220,900,1984,0,98092,47.278,-122.145,1820,8200
5318101565,20140703T000000,1625000,4,3.25,2980,3600,2,0,0,3,9,2150,830,1999,0,98112,47.6352,-122.284,2980,4800
