id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
7129300520,2014-10-13T00:00:00Z,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257
6414100192,2014-12-09T00:00:00Z,538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319
5631500400,2015-02-25T00:00:00Z,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233
2487200875,2014-12-09T00:00:00Z,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393
1954400510,2015-02-18T00:00:00Z,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045
7237550310,2014-05-12T00:00:00Z,1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005
1321400060,2014-06-27T00:00:00Z,257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327
2008000270,2015-01-15T00:00:00Z,291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315
2414600126,2015-04-15T00:00:00Z,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337
3793500160,2015-03-12T00:00:00Z,323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031
1736800520,2015-04-03T00:00:00Z,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145
9212900260,2014-05-27T00:00:00Z,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292
114101516,2014-05-28T00:00:00Z,310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229
6054650070,2014-10-07T00:00:00Z,400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045
1175000570,2015-03-12T00:00:00Z,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394
9297300055,2015-01-24T00:00:00Z,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375
1875500060,2014-07-31T00:00:00Z,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962
6865200140,2014-05-29T00:00:00Z,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343
16000397,2014-12-05T00:00:00Z,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21
7983200060,2015-04-24T00:00:00Z,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306
6300500875,2014-05-14T00:00:00Z,385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341
2524049179,2014-08-26T00:00:00Z,2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233
7137970340,2014-07-03T00:00:00Z,285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169
8091400200,2014-05-16T00:00:00Z,252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166
3814700200,2014-11-20T00:00:00Z,329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172
1202000200,2014-11-03T00:00:00Z,233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218
1794500383,2014-06-26T00:00:00Z,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36
3303700376,2014-12-01T00:00:00Z,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314
5101402488,2014-06-24T00:00:00Z,438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304
1873100390,2015-03-02T00:00:00Z,719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11
8562750320,2014-11-10T00:00:00Z,580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07
2426039314,2014-12-01T00:00:00Z,280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357
461000390,2014-06-24T00:00:00Z,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368
7589200193,2014-11-10T00:00:00Z,535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375
7955080270,2014-12-03T00:00:00Z,322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157
9547205180,2014-06-13T00:00:00Z,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31
9435300030,2014-05-28T00:00:00Z,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132
2768000400,2014-12-30T00:00:00Z,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362
7895500070,2015-02-13T00:00:00Z,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282
2078500320,2014-06-20T00:00:00Z,605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18
5547700270,2014-07-15T00:00:00Z,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027
7766200013,2014-08-11T00:00:00Z,775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347
7203220400,2014-07-07T00:00:00Z,861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016
9270200160,2014-10-28T00:00:00Z,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364
1432701230,2014-07-29T00:00:00Z,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175
8035350320,2014-07-18T00:00:00Z,488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977
8945200830,2015-03-25T00:00:00Z,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371
4178300310,2014-07-16T00:00:00Z,785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151
9215400105,2015-04-28T00:00:00Z,450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301
822039084,2015-03-11T00:00:00Z,1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451
5245600105,2014-09-16T00:00:00Z,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322
7231300125,2015-02-17T00:00:00Z,345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189
7518505990,2014-12-31T00:00:00Z,600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384
3626039271,2015-02-05T00:00:00Z,585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369
4217401195,2015-03-03T00:00:00Z,920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281
9822700295,2014-05-12T00:00:00Z,885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29
9478500640,2014-08-19T00:00:00Z,292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114
2799800710,2015-04-07T00:00:00Z,301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122
7922800400,2014-08-27T00:00:00Z,951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116
8079040320,2015-02-23T00:00:00Z,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149
1516000055,2014-12-10T00:00:00Z,650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339
9558200045,2014-08-28T00:00:00Z,289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335
5072410070,2014-10-21T00:00:00Z,505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344
